ID,Station,Sex,Age,Weight (gram),Weight Log10,Censored Weight,Ear (mm),Rostrum (mm),Hind Foot (mm),Tail (mm),Censored Tail,Species,Phallus,Genotype,HybridType,Distance,Latitude,Longitude,Year,Date,Left Ear,Right Ear,Zone Number,Zone,Trap Line,Trap Station,Reproductive Status,Pregnant,Female Reproductive Status,Reprodutive Comment,Vulva Condition,Past Years Recapture,Follow Up,Handlers,Issue,Comments,Collected,Ectoparasite Load,Botflies,Botfly Present,Fleas Observed,Ectoparasite Comment,Hair,Fecal,Symmatry,Type,Height,Midden Width Maximum(meters),Midden Width Minimum (meters),Substrate,Canopy,Scat,Scat Amount,Clippings,Clipping Species,Clipping Type,PredSE Weight Log10
1,NR-15A,Female,Adult,372,2.57054294,yes,35,,39,131,1,macrotis,n/a,macrotis,,-2688.36,35.769745,-120.801318,2008,"38,131 ",na,432,2,Near Sympatry (macrotis),NR,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.005358914
2,N-6,Female,Adult,330,2.51851394,yes,36,9.02,40,203,1,fuscipes,n/a,fuscipes,,3115.99,35.782558,-120.790513,2010,"38,831 ",3326,3327,4,Near Sympatry (fuscipes),N,6,Pregnant,yes,Parous,,Nonperforate,no,,JH Bender and MM Koenig,updated genotype,Nubbed tail (slight),,Low,0,no,None,,no,0,Asymmetrical,Typical,0.5,2,0.5,Crook of Bush,Mulefat,absent,absent,present,Baccharis salicifolia,old,0.004947672
3,ND-25,Female,Adult,323,2.509202522,yes,35,8.52,37,179,0,macrotis,n/a,unknown,,24005.15,35.75807,-120.872856,2010,"38,960 ",MMK60,MMK60,1,Allopatric (macrotis),ND,25,Pregnant,yes,Parous,Pregnant,Nonperforate,,,"MM Koenig, AL Estacio, SL Widin",,,yes,Medium,0,no,Moderate,1 tick,,0,,,,,,,,,,,,,0.008594412
4,HR-4,Female,Adult,265,2.423245874,yes,38,8.56,38,197,0,macrotis,n/a,unknown,,25540.57,35.758743,-120.878389,2010,"38,957 ",MMK38,MMK38,1,Allopatric (macrotis),HR,4,Pregnant,yes,Parous,"Post Lac, Possible Pregnant",Perforate,,,"MM Koenig, AL Estacio, LR Anderson, C Faurot-Daniels",,,yes,Low,0,no,Moderate,,,0,,,,,,,,,,,,,0.009444096
5,MI-6C,Female,Adult,270,2.431363764,yes,31,,38,177,0,macrotis,n/a,macrotis,,10967.3,35.753164,-120.820452,2008,"38,166 ",601,601,1,Allopatric (macrotis),MI,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004704001
6,PIT-3D,Female,Adult,225,2.352182518,yes,35,,40,209,0,macrotis,n/a,macrotis,,13044.72,35.75184,-120.82845,2008,"38,166 ",607,607,1,Allopatric (macrotis),PIT,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Low,0,no,,,no,0,,,,,,,,,,,,,0.004935249
7,GP-11B,Female,Adult,277,2.442479769,yes,29,,38,163,0,macrotis,n/a,macrotis,,1323.45,35.772058,-120.797671,2008,"38,144 ",na,502,2,Near Sympatry (macrotis),GP,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004867135
8,ENR-19A,Female,Adult,190,2.278753601,yes,33,,,203,0,macrotis,n/a,macrotis,,2153.64,35.770656,-120.799899,2008,"38,134 ",450,450,2,Near Sympatry (macrotis),ENR,0,Pregnant,yes,Parous,,Nonperforate,,Caught with 438 recapture.  Both hypothermic,JC Crawford,,,,High,0,no,,,no,0,,,,,,,,,,,,,0.004794818
9,NR-16B,Female,Adult,305,2.484299839,yes,32,,41,209,0,macrotis,n/a,macrotis,,2365.71,35.770508,-120.800689,2008,"38,129 ",424,424,2,Near Sympatry (macrotis),NR,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004777867
10,ENR-7A,Female,Adult,225,2.352182518,yes,31,,40,213,0,macrotis,n/a,macrotis,,2084.87,35.770853,-120.799805,2008,"38,132 ",440,440,2,Near Sympatry (macrotis),ENR,0,Pregnant,yes,Parous,,Nonperforate,,,JC Crawford,,,,Medium,0,no,,,no,0,,,,,,,,,,,,,0.004800448
